Species,Trophic_level,Cat
Acestrorhynchus_lacustris,4.3,Est
Acestrorhynchus_pantaneiro,4.3,Est
Afurcagobius_tamarensis,3.3,Est
Ageneiosus_militaris,3.7,Est
Alosa_agone,3.8,Est
Ambloplites_constellatus,3.5,Est
Ameiurus_brunneus,3.4,Est
Ameiurus_platycephalus,3.4,Est
Ammocrypta_clara,3.3,Est
Ammocrypta_vivax,3.3,Est
Apareiodon_affinis,2.2,Est
Apteronotus_ellisi,3.3,Est
Arrhamphus_sclerolepis,3.1,Est
Astroblepus_chapmani,3.3,Est
Astroblepus_grixalvii,3.4,Est
Astroblepus_micrescens,3.3,Est
Astronotus_crassipinnis,3,Est
Astyanax_lacustris,2.9,Est
Auchenipterus_osteomystax,3.6,Est
Barbatula_quignardi,2.8,Est
Barbatula_toni,2.6,Est
Brycon_henni,2.8,Est
Bryconamericus_caucanus,2.6,Est
Campylomormyrus_tamandua,3.2,Est
Carpiodes_velifer,2.4,Est
Catathyridium_jenynsii,3.3,Est
Catostomus_clarkii,2.8,Est
Catostomus_insignis,3.2,Est
Catostomus_latipinnis,2.8,Est
Chaetostoma_fischeri,,
Chaetostoma_eucomelas,,
Chaetostoma_thomsoni,,
Characidium_caucanum,3.5,Est
Characidium_phoxocephalum,3.6,Est
Chrosomus_erythrogaster,2.5,Est
Cichla_kelberi,4.4,Est
Cichla_piquiti,4.2,Est
Citharinus_eburneensis,2.4,Est
Cobitis_bilineata,3.3,Est
Cobitis_elongatoides,3.3,Est
Coptodon_dageti,2.4,Est
Cottus_amblystomopsis,3.3,Est
Cottus_caeruleomentum,3.2,Est
Cottus_carolinae,3.3,Est
Cottus_girardi,3.3,Est
Cottus_hangiongensis,3.3,Est
Cottus_nozawae,3.3,Est
Cottus_perplexus,3.2,Est
Crenicichla_haroldoi,3.2,Est
Crenicichla_jaguarensis,3.2,Est
Crenicichla_niederleinii,3.2,Est
Crystallaria_asprella,3.5,Est
Ctenopoma_kingsleyae,3.2,Est
Cycleptus_elongatus,3.1,Est
Cyphocharax_modestus,,
Cyphocharax_naegelii,,
Cyprinella_galactura,3.2,Est
Cyprinodon_pecosensis,2.7,Est
Cyprinodon_rubrofluviatilis,2.6,Est
Elassoma_zonatum,3.7,Est
Enteromius_chlorotaenia,3,Est
Enteromius_foutensis,3,Est
Enteromius_trispilos,3,Est
Etheostoma_asprigene,3.3,Est
Etheostoma_chlorobranchium,3.4,Est
Etheostoma_chlorosomum,3.2,Est
Etheostoma_cragini,3.2,Est
Etheostoma_fricksium,3.3,Est
Etheostoma_fusiforme,3.2,Est
Etheostoma_gracile,3.2,Est
Etheostoma_histrio,3.3,Est
Etheostoma_inscriptum,3.3,Est
Etheostoma_juliae,3.3,Est
Etheostoma_lepidum,3.3,Est
Etheostoma_proeliare,3.2,Est
Etheostoma_radiosum,3.3,Est
Etheostoma_serrifer,3.3,Est
Etheostoma_vitreum,3.3,Est
Etheostoma_vulneratum,3.3,Est
Etheostoma_whipplei,3.3,Est
Etheostoma_zonale,3.3,Est
Fundulus_catenatus,3.4,Est
Fundulus_dispar,3.2,Est
Fundulus_lineolatus,3.2,Est
Fundulus_olivaceus,3.2,Est
Fundulus_sciadicus,3.2,Est
Fundulus_stellifer,3.4,Est
Fundulus_zebrinus,3.2,Est
Galeocharax_knerii,4.1,Est
Geophagus_sveni,2.3,Est
Gobio_occitaniae,3.2,Est
Gobiomorphus_coxii,3.4,Est
Gymnogobius_opperiens,3.2,Est
Gymnogobius_petschiliensis,3.2,Est
Gymnotus_inaequilabiatus,3.5,Est
Gymnotus_pantanal,3.3,Est
Gymnotus_paraguensis,3.3,Est
Gymnotus_sylvius,3.4,Est
Hemibrycon_dentatus,3,Est
Hemiodus_orthonops,2.6,Est
Heterobranchus_bidorsalis,3.7,Est
Heterobranchus_isopterus,3.7,Est
Hippopotamyrus_pictus,3.2,Est
Hybopsis_amnis,2.9,Est
Hypentelium_etowanum,3,Est
Hypophthalmus_oremaculatus,3.4,Est
Hypostomus_albopunctatus,,
Hypostomus_cochliodon,,
Hypostomus_microstomus,,
Hypostomus_regani,,
Hypostomus_strigaticeps,,
Hypostomus_ternetzi,,
Labeo_roseopunctatus,,
Labeo_senegalensis,,
Labeobarbus_wurtzi,3.2,Est
Lasiancistrus caucanus,,
Lepisosteus_platostomus,3.9,Est
Lepomis_marginatus,3.3,Est
Lepomis_microlophus,3.5,Est
Lepomis_miniatus,3.4,Est
Lepomis_punctatus,3.4,Est
Lepthoplosternum_pectorale,3,Est
Leuciscus_burdigalensis,2.8,Est
Loricariichthys_rostratus,2.6,Est
Luxilus_pilsbryi,3,Est
Maccullochella_mariensis,4,Est
Macrhybopsis_gelida,3.3,Est
Macrhybopsis_meeki,3.3,Est
Marcusenius_furcidens,3.1,Est
Marcusenius_ussheri,3.1,Est
Mastacembelus_nigromarginatus,3.9,Est
Megaleporinus_macrocephalus,2.5,Est
Megaleporinus_piavussu,2.6,Est
Megalonema_platanum,4.1,Est
Melanotaenia_duboulayi,2.9,Est
Metynnis_lippincottianus,3.5,Est
Micropterus_coosae,3.6,Est
Moenkhausia_gracilima,3.3,Est
Mormyrops_breviceps,3.3,Est
Mormyrus_hasselquistii,3.2,Est
Morone_mississippiensis,4.1,Est
Moxostoma_collapsum,3.1,Est
Moxostoma_congestum,3.1,Est
Moxostoma_lachneri,3.1,Est
Moxostoma_pappillosum,3.1,Est
Moxostoma_poecilurum,3.1,Est
Myloplus_tiete,,
Notropis_amabilis,2.9,Est
Notropis_amoenus,2.8,Est
Notropis_atrocaudalis,2.9,Est
Notropis_bairdi,2.9,Est
Notropis_cummingsae,2.9,Est
Notropis_girardi,2.9,Est
Notropis_greenei,2.9,Est
Notropis_hypsilepis,2.9,Est
Notropis_jemezanus,2.9,Est
Notropis_leuciodus,2.9,Est
Notropis_longirostris,2.9,Est
Notropis_lutipinnis,2.9,Est
Notropis_nubilus,2.8,Est
Notropis_ortenburgeri,2.9,Est
Notropis_percobromus,2.9,Est
Notropis_perpallidus,2.9,Est
Notropis_petersoni,2.9,Est
Notropis_potteri,2.8,Est
Notropis_sabinae,2.9,Est
Notropis_shumardi,2.8,Est
Notropis_simus,2.8,Est
Notropis_spectrunculus,2.9,Est
Notropis_suttkusi,2.9,Est
Notropis_telescopus,2.8,Est
Notropis_topeka,2.9,Est
Notropis_wickliffi,2.9,Est
Noturus_eleutherus,3.3,Est
Noturus_exilis,3.4,Est
Noturus_leptacanthus,3.3,Est
Noturus_placidus,3.3,Est
Oncorhynchus_gilae,3.6,Est
Ossancora eigenmanni,2.8,Est
Parachondrostoma miegii,2.9,Est
Parodon_magdalenensis,2.3,Est
Parodon_nasus,2.3,Est
Percalates_novemaculeatus,3.4,Est
Percina_aurantiaca,3.5,Est
Percina_carbonaria,3.4,Est
Percina_evides,3.4,Est
Percina_macrolepida,3.4,Est
Percina_nevisense,3.4,Est
Percina_nigrofasciata,3.4,Est
Percina_peltata,3.4,Est
Percina_roanoka,3.3,Est
Percina_squamata,3.4,Est
Petrocephalus_pellegrini,3.2,Est
Philypnodon_macrostomus,3.1,Est
Phoxinus septimaniae,3,Est
Pimelodella_avanhandavae,3.6,Est
Pimelodella_taenioptera,3.5,Est
Pimelodus_microstoma,3.3,Est
Pimelodus_mysteriosus,3.2,Est
Pimelodus_ornatus,3.3,Est
Pimephales_tenellus,2.7,Est
Pimephales_vigilax,2.6,Est
Platydoras_armatulus,2.2,Est
Proterorhinus_semilunaris,3.3,Est
Pseudaspius_hakonensis,3.5,Est
Pseudaspius_sachalinensis,3.5,Est
Pseudomugil_mellis,3.2,Est
Pseudopimelodus_mangurus,3.9,Est
Pterygoplichthys_ambrosettii,,
Pungitius_sinensis,3.5,Est
Pungitius_tymensis,3.4,Est
Raiamas_nigeriensis,3.3,Est
Raiamas_senegalensis,3.4,Est
Redigobius_macrostoma,3.4,Est
Rhamphichthys_hahni,3.2,Est
Rhinelepis_aspera,,
Rhynchocypris_lagowskii,3.5,Est
Salminus_hilarii,2.7,Est
Schizodon_altoparanae,2.5,Est
Schizodon_borellii,2.4,Est
Squalius_laietanus,3.3,Est
Steindachnerina_brevipinna,,
Synodontis_bastiani,2.9,Est
Synodontis_comoensis,2.9,Est
Synodontis_koensis,2.9,Est
Synodontis_punctifer,2.9,Est
Zungaro jahu,4.5,Est
Agosia_chrysogaster,2.9,Est
Ambassis_marianus,3.4,Est
Brycon_orbignyanus,2.7,Est
Campostoma pauciradii,,
Catostomus_discobolus,2.8,Est
Catostomus_occidentalis,2.8,Est
Cichlasoma_paranaense,3.3,Est
Cobitis_taenia,3.3,Est
Cyprinella_lepida,3.1,Est
Cyprinella_monacha,3.2,Est
Cyprinella_proserpina,3.1,Est
Cyprinella_whipplei,3.2,Est
Dionda_serena,2.9,Est
Eigenmannia_virescens,3.2,Est
Gerres subfasciatus,3.3,Est
Gila_atraria,2,Est
Gila_nigra,2,Est
Gila_robusta,2,Est
Hybognathus nuchalis,,
Hybognathus placitus,,
Hypostomus_commersoni,,
Labeo_coubie,2,Est
Leiopotherapon_unicolor,4.1,Est
Lucania_parva,3.2,Est
Luxilus_cardinalis,3,Est
Luxilus_coccogenis,3,Est
Luxilus_zonistius,3,Est
Lythrurus_fumeus ,3.2,Est
Meda_fulgida  ,3.2,Est
Megalancistrus_parananus,,
Megaleporinus_elongatus,2.5,Est
Menidia_audens,3.2,Est
Menidia_beryllina,3.2,Est
Nocomis_leptocephalus,3.1,Est
Nocomis_raneyi ,3.1,Est
Noturus_albater,3.3,Est
Noturus_nocturnus ,3.4,Est
Percina_phoxocephala,3.4,Est
Phenacobius_crassilabrum,2.9,Est
Phenacobius_mirabilis,2.9,Est
Phoxinus_bigerri,3,Est
Pteronotropis_hypselopterus,3,Est
Pteronotropis stonei,3,Est
Rhinichthys_cobitis  ,3,Est
Rhinodoras_dorbignyi,2.7,Est
Romanogobio vladykovi,3.4,Est
Semotilus_thoreauianus,3.5,Est
Trinectes_maculatus,2.9,Est
